80	20AC
81	FFFD
82	201A
83	FFFD
84	201E
85	2026
86	2020
87	2021
88	FFFD
89	2030
8A	FFFD
8B	2039
8C	FFFD
8D	00A8
8E	02C7
8F	00B8
90	FFFD
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	FFFD
99	2122
9A	FFFD
9B	203A
9C	FFFD
9D	00AF
9E	02DB
9F	FFFD
A0	00A0
A1	FFFD
A2	00A2
A3	00A3
A4	00A4
A5	FFFD
A6	00A6
A7	00A7
A8	00D8
A9	00A9
AA	0156
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	00C6
B0	00B0
B1	00B1
B2	00B2
B3	00B3
B4	00B4
B5	00B5
B6	00B6
B7	00B7
B8	00F8
B9	00B9
BA	0157
BB	00BB
BC	00BC
BD	00BD
BE	00BE
BF	00E6
C0	0104
C1	012E
C2	0100
C3	0106
C4	00C4
C5	00C5
C6	0118
C7	0112
C8	010C
C9	00C9
CA	0179
CB	0116
CC	0122
CD	0136
CE	012A
CF	013B
D0	0160
D1	0143
D2	0145
D3	00D3
D4	014C
D5	00D5
D6	00D6
D7	00D7
D8	0172
D9	0141
DA	015A
DB	016A
DC	00DC
DD	017B
DE	017D
DF	00DF
E0	0105
E1	012F
E2	0101
E3	0107
E4	00E4
E5	00E5
E6	0119
E7	0113
E8	010D
E9	00E9
EA	017A
EB	0117
EC	0123
ED	0137
EE	012B
EF	013C
F0	0161
F1	0144
F2	0146
F3	00F3
F4	014D
F5	00F5
F6	00F6
F7	00F7
F8	0173
F9	0142
FA	015B
FB	016B
FC	00FC
FD	017C
FE	017E
FF	02D9
