80	20AC
81	067E
82	201A
83	0192
84	201E
85	2026
86	2020
87	2021
88	02C6
89	2030
8A	FFFD
8B	2039
8C	0152
8D	0686
8E	0698
8F	FFFD
90	06AF
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	FFFD
99	2122
9A	FFFD
9B	203A
9C	0153
9D	200C
9E	200D
9F	FFFD
A0	00A0
A1	060C
A2	00A2
A3	00A3
A4	00A4
A5	00A5
A6	00A6
A7	00A7
A8	00A8
A9	00A9
AA	FFFD
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	00AF
B0	00B0
B1	00B1
B2	00B2
B3	00B3
B4	00B4
B5	00B5
B6	00B6
B7	00B7
B8	00B8
B9	00B9
BA	061B
BB	00BB
BC	00BC
BD	00BD
BE	00BE
BF	061F
C0	FFFD
C1	0621
C2	0622
C3	0623
C4	0624
C5	0625
C6	0626
C7	0627
C8	0628
C9	0629
CA	062A
CB	062B
CC	062C
CD	062D
CE	062E
CF	062F
D0	0630
D1	0631
D2	0632
D3	0633
D4	0634
D5	0635
D6	0636
D7	00D7
D8	0637
D9	0638
DA	0639
DB	063A
DC	0640
DD	0641
DE	0642
DF	0643
E0	00E0
E1	0644
E2	00E2
E3	0645
E4	0646
E5	0647
E6	0648
E7	00E7
E8	00E8
E9	00E9
EA	00EA
EB	00EB
EC	0649
ED	064A
EE	00EE
EF	00EF
F0	064B
F1	064C
F2	064D
F3	064E
F4	00F4
F5	064F
F6	0650
F7	00F7
F8	0651
F9	00F9
FA	0652
FB	00FB
FC	00FC
FD	200E
FE	200F
FF	FFFD
