80	20AC
81	FFFD
82	201A
83	0192
84	201E
85	2026
86	2020
87	2021
88	FFFD
89	2030
8A	FFFD
8B	2039
8C	FFFD
8D	FFFD
8E	FFFD
8F	FFFD
90	FFFD
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	FFFD
99	2122
9A	FFFD
9B	203A
9C	FFFD
9D	FFFD
9E	FFFD
9F	FFFD
A0	00A0
A1	0385
A2	0386
A3	00A3
A4	00A4
A5	00A5
A6	00A6
A7	00A7
A8	00A8
A9	00A9
AA	FFFD
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	2015
B0	00B0
B1	00B1
B2	00B2
B3	00B3
B4	0384
B5	00B5
B6	00B6
B7	00B7
B8	0388
B9	0389
BA	038A
BB	00BB
BC	038C
BD	00BD
BE	038E
BF	038F
C0	0390
C1	0391
C2	0392
C3	0393
C4	0394
C5	0395
C6	0396
C7	0397
C8	0398
C9	0399
CA	039A
CB	039B
CC	039C
CD	039D
CE	039E
CF	039F
D0	03A0
D1	03A1
D2	FFFD
D3	03A3
D4	03A4
D5	03A5
D6	03A6
D7	03A7
D8	03A8
D9	03A9
DA	03AA
DB	03AB
DC	03AC
DD	03AD
DE	03AE
DF	03AF
E0	03B0
E1	03B1
E2	03B2
E3	03B3
E4	03B4
E5	03B5
E6	03B6
E7	03B7
E8	03B8
E9	03B9
EA	03BA
EB	03BB
EC	03BC
ED	03BD
EE	03BE
EF	03BF
F0	03C0
F1	03C1
F2	03C2
F3	03C3
F4	03C4
F5	03C5
F6	03C6
F7	03C7
F8	03C8
F9	03C9
FA	03CA
FB	03CB
FC	03CC
FD	03CD
FE	03CE
FF	FFFD
