80	20AC
81	FFFD
82	201A
83	FFFD
84	201E
85	2026
86	2020
87	2021
88	FFFD
89	2030
8A	0160
8B	2039
8C	015A
8D	0164
8E	017D
8F	0179
90	FFFD
91	2018
92	2019
93	201C
94	201D
95	2022
96	2013
97	2014
98	FFFD
99	2122
9A	0161
9B	203A
9C	015B
9D	0165
9E	017E
9F	017A
A0	00A0
A1	02C7
A2	02D8
A3	0141
A4	00A4
A5	0104
A6	00A6
A7	00A7
A8	00A8
A9	00A9
AA	015E
AB	00AB
AC	00AC
AD	00AD
AE	00AE
AF	017B
B0	00B0
B1	00B1
B2	02DB
B3	0142
B4	00B4
B5	00B5
B6	00B6
B7	00B7
B8	00B8
B9	0105
BA	015F
BB	00BB
BC	013D
BD	02DD
BE	013E
BF	017C
C0	0154
C1	00C1
C2	00C2
C3	0102
C4	00C4
C5	0139
C6	0106
C7	00C7
C8	010C
C9	00C9
CA	0118
CB	00CB
CC	011A
CD	00CD
CE	00CE
CF	010E
D0	0110
D1	0143
D2	0147
D3	00D3
D4	00D4
D5	0150
D6	00D6
D7	00D7
D8	0158
D9	016E
DA	00DA
DB	0170
DC	00DC
DD	00DD
DE	0162
DF	00DF
E0	0155
E1	00E1
E2	00E2
E3	0103
E4	00E4
E5	013A
E6	0107
E7	00E7
E8	010D
E9	00E9
EA	0119
EB	00EB
EC	011B
ED	00ED
EE	00EE
EF	010F
F0	0111
F1	0144
F2	0148
F3	00F3
F4	00F4
F5	0151
F6	00F6
F7	00F7
F8	0159
F9	016F
FA	00FA
FB	0171
FC	00FC
FD	00FD
FE	0163
FF	02D9
